doc_id,num_tokens,num_sentences
doc_0000,20113,1
doc_0001,10256,1
doc_0002,10919,1
doc_0003,21515,1
doc_0004,14056,1
doc_0005,15358,1
doc_0006,7533,1
doc_0007,15836,1
doc_0008,19385,1
doc_0009,12994,1
doc_0010,10141,1
doc_0011,18929,1
doc_0012,6868,1
doc_0013,7546,1
doc_0014,11277,1
doc_0015,13550,1
doc_0016,13214,1
doc_0017,8553,1
doc_0018,10957,1
doc_0019,16251,1
doc_0020,7960,1
doc_0021,8750,1
doc_0022,17852,1
doc_0023,10560,1
doc_0024,21787,1
doc_0025,5829,1
doc_0026,6592,1
doc_0027,12160,1
doc_0028,8793,1
doc_0029,7114,1
doc_0030,6815,1
doc_0031,922,1
doc_0032,15374,1
doc_0033,9879,1
doc_0034,12604,1
doc_0035,34232,1
doc_0036,17637,1
doc_0037,25607,1
doc_0038,9957,1
doc_0039,7452,1
doc_0040,7184,1
doc_0041,18356,1
doc_0042,18109,1
doc_0043,10252,1
doc_0044,15048,1
doc_0045,9787,1
doc_0046,20751,1
doc_0047,1897,1
doc_0048,16422,1
doc_0049,18397,1
doc_0050,7414,1
doc_0051,36885,1
doc_0052,14856,1
